	name	mz	RT	HU_pos_001	HU_pos_007	HU_pos_013	HU_pos_022	HU_pos_040	HU_pos_050	HU_pos_060	HU_pos_081	HU_pos_086	HU_pos_116	HU_pos_124	HU_pos_140	HU_pos_145	HU_pos_162	HU_pos_183	HU_pos_188b	HU_pos_189b	HU_pos_189	HU_pos_192b	HU_pos_193b	HU_pos_204b	HU_pos_205b	HU_pos_213	HU_pos_214	HU_pos_224
687	M148T400	148.0604322	399.7682761	447541.2718	2134887.055	815165.264	1313299.668	954658.6101	1404006.168	1705227.315	2292748.708	4245803.017	0	2769955.602	149606.7919	3398784.299	728959.153	0	164436.0909	1256204.494	552189.6049	993467.6564	1249284.209	4827244.791	1817057.265	980499.192	796492.6995	0
688	M148T254	148.0632546	253.6558916	0	2554101.461	487376.1995	208346.875	186406.4665	0	864232.4337	3070678.063	3084829.418	793445.2158	1686184.028	0	0	0	156532.2254	0	2179370.714	0	932882.3723	3660428.453	2312178.393	920773.6421	0	255392.5501	125363.3968
689	M149T441	148.5388676	440.5104539	142604.2845	3296446.443	170232.5585	1658227.816	0	0	2439236.962	480913.3165	0	2921845.6	1120794.679	0	722519.806	180071.9504	1531677.514	4545925.483	736973.2805	211474.8058	0	2310665.342	0	0	0	0	0
690	M149T51	148.9356225	51.24124922	39279557.09	0	2397863.081	7110194.313	11854274.93	5010558.389	7535391.674	6745409.177	612083.6086	9188147.362	2537784.897	626088.1936	2000200.905	1332699.556	12244440.9	47360504.31	17561459.94	10700225.77	4214449.398	3111649.401	0	11583576.79	16676199.92	931989.1975	57032090.82
691	M149T266	149.0599404	266.0313441	8870859.39	8535874.212	4857941.295	4555585.831	9070313.494	10504430.97	7415554.416	7285346.685	7128113.621	4191578.594	8487698.434	2798572.037	3779444.589	9331447.336	3342595.049	1427031.22	13831940.08	7135223.699	10644638.47	5124803.743	5115602.541	5063906.223	233523.0019	2415066.401	16966494.4
692	M149T455	149.0596957	454.8321041	0	2710490.806	1703226.465	3116967.855	1119440.34	4156583.057	685406.1932	1447824.197	4421137.362	602289.2893	5111897.342	0	2053778.042	5227028.929	4012535.867	0	1498604.67	243887.9357	2136836.518	2071765.706	3166836.638	2369680.752	702666.0256	0	0
693	M149T253	149.0711138	252.6612741	152244.513	2300202.883	279904.0118	401172.5386	933161.3537	1283036.124	1554436.478	420317.7121	4076951.564	771260.6541	1750361.055	0	245450.4613	306646.5603	321362.9741	1327181.183	8814333.37	226394.9837	2130144.243	9538866.065	9606041.241	6791940.99	0	168804.0161	0
694	M149T368	149.0960915	367.5807258	10971394.68	25818702.88	21883989.79	13417627.38	25009253.16	15326651.86	23980080.6	66291023.32	34799536.6	5518802.781	40612918.47	17493049.02	40326929.16	16971675.41	14253107.85	5747883.651	50485377.54	29834966.71	60884929.82	46640940.95	73414042.41	24002580.76	9033151.621	7131894.366	0
695	M149T506	149.0960086	506.3681197	1588385.66	1797446.671	922550.6901	2075301.271	874741.7359	5206166.703	1181340.012	4709713.724	3249381.588	1294755.908	2159992.789	0	5953927.138	4985681.592	298762.0713	434284.1075	3782482.395	2739981.274	1606460.461	1823778.554	646934.7751	816749.1784	0	0	0
696	M149T48	149.4785173	48.17159633	0	222900.4664	0	0	513589.0385	0	160616.36	2857326.05	673516.0381	0	1829189.538	0	245277.3352	1409269.995	0	0	3861426.949	5141950.411	2548482.526	397208.7004	0	5821797.76	291655.7968	2323581.546	0
697	M150T368	149.540443	367.6476101	1755560.7	1514568.699	2688239.488	0	1304476.337	0	795599.2197	1225595.889	0	0	0	871278.5811	0	0	191043.7946	265289.4931	660794.5573	462105.5477	532183.7807	1120777.091	0	183415.2263	0	0	0
698	M150T46	149.5981403	46.1644	514605.9594	3097321.412	1330784.05	1760055.884	201513.3435	636357.7988	0	0	544001.9239	1060739.719	0	6965525.79	5968670.572	0	0	337617.993	0	0	0	2633382.931	8230919.094	0	440997.4983	299030.0859	0
699	M150T307	150.0551499	307.0124681	157319150.2	21138577.73	84495916.42	124650654.5	33199740.49	110620499	164749274.4	38853701.3	127547152.5	89729355.92	106465848.4	28487020.55	38528993.91	15490299.66	21509543.75	34298894.46	288357689	205295167.2	128982651.2	173027432.2	105673925.7	76078897.05	20830844.81	87771523.3	0
700	M150T316	150.1278571	315.5208729	0	890527.0354	0	8470575.161	4222420.122	6950362.511	4027453.441	0	15860594.1	5480960.966	5245379.046	407787.7104	0	12807955.52	8625843.555	162258.7113	0	0	0	0	6341517.669	1759219.754	632437.6984	1051798.583	0
701	M151T713	150.5348271	713.4057469	0	605137.5367	936994.6846	1812236.732	3518899.164	4732249.086	3462682.982	3513797.108	6215561.613	1739985.403	3925532.628	1862928.795	1781090.907	9796494.719	1764457.42	0	284212.2471	1340266.547	333204.6037	0	5432702.29	2320758.069	1236626.534	7888665.905	0
702	M151T368	150.5405454	367.6562223	6284905.705	5285203.486	8641335.335	1996752.542	7055464.028	1162915.251	4069765.563	7642062.982	1061926.432	1907543.391	1616528.435	6128947.333	749740.2702	989664.0151	1384070.078	2638738.843	6855007.27	3702013.574	3701992.546	4808083.792	986124.4307	931898.0524	906523.706	0	97037.96039
703	M151T822	150.840512	821.9482428	326791.03	750594.2261	338813.2763	509809.8678	755289.7966	143135.5647	116279.5145	98961.3752	154804.8416	0	95044.79282	0	0	106759.0047	0	0	152017.1161	78971.5662	0	0	0	0	0	0	0
704	M151T51	150.9326204	51.23998582	7984005.078	0	479120.0185	1817061.068	2859037.387	1469172.889	1967889.048	1606508.495	160971.7983	2031398.408	504566.2909	0	227243.0675	103672.3565	3029708.233	8505250.768	3878117.136	2347734.171	1459005.486	634198.7854	0	3066101.519	3431903.011	63988.15917	11595562.16
705	M151T315	151.0391544	314.6960021	8825667.264	15160857.29	31845647.18	190830907.6	25341093.9	125237945.7	44971499.65	46077761.28	41060366.29	30060541.82	43513133.84	2542484.694	260182455.4	207905343.7	223276917.8	14433350.38	8530582.269	4269365.791	17792594.82	24188734.33	41068618.71	76471585.49	47443265.88	3757826.59	0
706	M151T267	151.0616958	267.142764	178313099	281620546.1	149159787.4	236996835.9	224859497.4	262811080.6	280109024.8	315469064	555870505	100504233.8	352681537.5	177961800.4	650789640.9	486986902.2	89181880.54	46444228.01	216703310.8	39392163.89	172434975.6	159305501.1	696769402	296029561.6	26697604.47	113541177.4	0
707	M151T304	151.0753465	303.8356062	6788867.377	4018631.417	1168056.967	11360563.34	2071141.996	10116589.1	5937930.947	1711804.973	4400205.608	1470008.807	4197414.619	0	2500602.605	65356247.19	9477912.551	925398.4854	7061547.983	1593320.166	1944488.551	4229238.176	5696067.027	3679125.574	1295691.198	826159.7815	0
708	M151T395	151.0761514	394.8238967	7792347.922	11714261.64	5682724.271	18237013.33	15945539.14	37831824.39	14889560.36	23621589.35	58325410.73	8732959.338	50296486.94	9552228.426	23011559.82	18780533.27	24025469.2	3198059.239	8739634.725	4513221.687	6464420.525	12630369.25	16644954.66	12046001.48	820335.9437	5610022.59	0
